Ponderacion,Producto_INE,Producto,Accion
0.29935,CAMA,CAMA,Mantener
0.07599,COLCHÓN,COLCHÓN,Mantener
0.13894,MUEBLES DE COMEDOR,MUEBLES DE COMEDOR,Mantener
0.06734,MUEBLES PARA COCINA,MUEBLES PARA COCINA,Mantener
0.3419,MUEBLES PARA LIVING,MUEBLES PARA LIVING,Mantener
0.07948,ALFOMBRA Y OTROS REVESTIMIENTOS PARA PISOS,ALFOMBRA Y OTROS REVESTIMIENTOS PARA PISOS,Mantener
0.07102,LÁMPARA,LÁMPARA,Mantener
0.13233,ARTÍCULOS ORNAMENTALES,ARTÍCULOS ORNAMENTALES,Mantener
0.04053,SERVICIO DE REPARACIÓN DE MUEBLES,SERVICIO DE REPARACIÓN DE MUEBLES,Mantener
0.17929,TEXTILES PARA CAMA,TEXTILES PARA CAMA,Mantener
0.0553,TEXTILES PARA BAÑO Y COCINA,TEXTILES PARA BAÑO Y COCINA,Mantener
0.05703,TEXTILES PARA LIVING Y COMEDOR,TEXTILES PARA LIVING Y COMEDOR,Mantener
0.04883,CALEFÓN,CALEFÓN,Mantener
0.08625,COCINA,COCINA,Mantener
0.10669,ARTÍCULOS PARA CALEFACCIÓN DEL HOGAR,ARTÍCULOS PARA CALEFACCIÓN DEL HOGAR,Mantener
0.03728,HORNO MICROONDAS,HORNO MICROONDAS,Mantener
0.20342,LAVADORA,LAVADORA,Mantener
0.20451,REFRIGERADOR,REFRIGERADOR,Mantener
0.07779,ELECTRODOMÉSTICOS PEQUEÑOS DE COCINA,ELECTRODOMÉSTICOS PEQUEÑOS DE COCINA,Mantener
0.03235,PLANCHA,PLANCHA,Mantener
0.09233,PROCESADOR DE ALIMENTOS,PROCESADOR DE ALIMENTOS,Mantener
0.05318,SERVICIO DE REPARACIÓN DE LÍNEA BLANCA Y ELECTRODOMÉSTICOS,SERVICIO DE REPARACIÓN DE LÍNEA BLANCA Y ELECTRODOMÉSTICOS,Mantener
0.12202,VAJILLA,VAJILLA,Mantener
0.06212,OLLA Y SARTÉN,OLLA Y SARTÉN,Mantener
0.10934,UTENSILIOS DE COCINA,UTENSILIOS DE COCINA,Mantener
0.10442,HERRAMIENTAS ELÉCTRICAS,HERRAMIENTAS ELÉCTRICAS,Mantener
0.08669,HERRAMIENTAS MANUALES,HERRAMIENTAS MANUALES,Mantener
0.05384,ACCESORIOS DE ILUMINACIÓN,ACCESORIOS DE ILUMINACIÓN,Mantener
0.05872,ARTÍCULOS DE CERRAJERÍA,ARTÍCULOS DE CERRAJERÍA,Mantener
0.05269,ACCESORIOS ELÉCTRICOS,ACCESORIOS ELÉCTRICOS,Mantener
0.03695,PILAS,PILAS,Mantener
0.0742,AROMATIZADOR Y DESINFECTANTE AMBIENTAL,AROMATIZADOR Y DESINFECTANTE AMBIENTAL,Mantener
0.50908,DETERGENTE Y SUAVIZANTE PARA ROPA,DETERGENTE Y SUAVIZANTE PARA ROPA,Mantener
0.07218,LAVALOZA,LAVALOZA,Mantener
0.06054,LIMPIADOR DE PISO,LIMPIADOR DE PISO,Mantener
0.12725,LIMPIADOR MULTIUSO,LIMPIADOR MULTIUSO,Mantener
0.0374,INSECTICIDAS Y SIMILARES,INSECTICIDAS Y SIMILARES,Mantener
0.04251,ARTÍCULOS PARA LIMPIEZA DE PISO,ARTÍCULOS PARA LIMPIEZA DE PISO,Mantener
0.08081,ARTÍCULOS PARA LIMPIEZA DE BAÑO Y COCINA,ARTÍCULOS PARA LIMPIEZA DE BAÑO Y COCINA,Mantener
0.20352,SERVILLETAS  Y TOALLA DE PAPEL,SERVILLETAS  Y TOALLA DE PAPEL,Mantener
2.645,SERVICIO DOMÉSTICO,SERVICIO DOMÉSTICO,Mantener
0.12351000000000001,"MEDICAMENTOS ANTIINFECCIOSOS, ANTIVIRALES Y ANTIFUNGICOS","MEDICAMENTOS ANTIINFECCIOSOS, ANTIVIRALES Y ANTIFUNGICOS",Mantener
0.19489,MEDICAMENTOS PARA EL APARATO CARDIOVASCULAR,MEDICAMENTOS PARA EL APARATO CARDIOVASCULAR,Mantener
0.22127000000000002,HORMONAS Y MEDICAMENTOS PARA EL SISTEMA GENITO-URINARIO,HORMONAS Y MEDICAMENTOS PARA EL SISTEMA GENITO-URINARIO,Mantener
0.15446,"MEDICAMENTOS ANTIINFLAMATORIOS NO CORTICOIDES, ANTIMIGRAÑOSOS Y  SISTEMA OSTEO-MUSCULAR","MEDICAMENTOS ANTIINFLAMATORIOS NO CORTICOIDES, ANTIMIGRAÑOSOS Y  SISTEMA OSTEO-MUSCULAR",Mantener
0.17268999999999998,MEDICAMENTOS PARA EL SISTEMA RESPIRATORIO,MEDICAMENTOS PARA EL SISTEMA RESPIRATORIO,Mantener
0.12814,"MEDICAMENTOS DERMATOLÓGICOS, DESINFECTANTES Y ANTISÉPTICOS","MEDICAMENTOS DERMATOLÓGICOS, DESINFECTANTES Y ANTISÉPTICOS",Mantener
